fips_state_county_code,population_2020,10_year_pop_delta,20_year_pop_delta,rucc
5095,6799,-0.165664499,-0.337006338,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
5097,8484,-0.105723622,-0.080026025,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
5099,8310,-0.076358786,-0.163983903,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
5101,7225,-0.132653061,-0.160176683,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
5103,22650,-0.132848392,-0.212885738,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
5105,10019,-0.040785065,-0.017648789,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
5107,16568,-0.238497955,-0.373326273,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
5109,10171,-0.099194048,-0.099991151,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
5111,22965,-0.065817842,-0.103525003,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
5113,19221,-0.069741555,-0.050064248,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
5115,63381,0.026346471,0.163124862,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area                                                                                                                             "
5117,8282,-0.049684452,-0.130316077,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
5119,399125,0.042787944,0.104477405,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
5121,18571,0.033502143,0.020889451,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
5123,23090,-0.182886262,-0.212751449,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
5125,123416,0.152149965,0.476992305,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
5127,9836,-0.124365708,-0.104678682,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
5129,7828,-0.044783405,-0.05,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
5131,127799,0.016342728,0.110320501,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
5133,15839,-0.071462071,0.005650794,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
5135,17271,0.000405468,0.008820093,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
5137,12359,-0.002823947,0.075069589,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
5139,39054,-0.062081222,-0.144171981,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
5141,15796,-0.086672449,-0.023853665,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
5143,245871,0.210799498,0.558068502,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
5145,76822,-0.003295449,0.143797272,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 "
5147,6269,-0.136501377,-0.282558938,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
5149,20263,-0.086635114,-0.040895537,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
6001,1682353,0.11394114,0.165302468,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
6003,1204,0.024680851,-0.001658375,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
6005,40474,0.06256071,0.153072562,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
6007,211632,-0.038036364,0.041880615,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
