FIPS Code,less_than_hs,hs_diploma_only,some_college_or_associates,bachelors_or_higher
36083,9071,32369,34519,35776
36085,37207,100452,81026,111976
36087,24008,45877,50052,83654
36089,8125,26380,20091,17061
36091,9735,40531,45288,67456
36093,9914,31497,31026,34238
36095,2308,7970,7026,5005
36097,1268,4430,4428,3103
36099,3758,8702,7043,5207
36101,6475,25012,20500,16099
36103,97090,281922,277165,374665
36105,7038,17945,14951,13152
36107,3064,12472,10138,9022
36109,3326,11347,13111,31990
36111,12059,38710,37174,42247
36113,3854,14653,14333,14993
36115,5440,17429,12888,9235
36117,6934,21531,20982,14467
36119,79762,128492,133103,326933
36121,2938,11614,9350,5131
36123,2272,5443,4757,4201
37001,15046,30386,37150,27290
37003,4724,10371,7920,3812
37005,1896,2438,2627,1460
37007,3470,7243,5268,2032
37009,3028,6470,6856,4002
37011,2191,4024,4354,2755
37013,4201,11115,11823,7031
37015,3113,5487,3832,1964
37017,4474,8001,7705,3791
37019,9082,29021,34830,31048
37021,16862,43838,52263,75737
37023,11978,20488,22033,10721
37025,13791,34462,44434,44201
37027,11827,19175,18714,9294
37029,1004,2188,2977,1274
37031,4383,13388,19260,15182
37033,3269,5619,5163,2664
37035,15391,32708,36293,24663
37037,5795,11048,13247,22117
37039,2754,7284,7386,4095
37041,1402,3536,3360,2296
37043,992,2798,2602,1984
37045,10545,22995,21561,11745
37047,6705,14323,12934,5442
37049,7569,17554,25298,17032
37051,18606,53420,81380,52502
37053,1784,5410,7190,4411
37055,1556,6147,9886,9359
37057,18692,38135,37903,21469
37059,3694,9665,9615,7259
37061,9591,12706,12783,4828
37063,24947,37969,48045,103332
37065,6859,13614,10933,4928
37067,27106,64685,74308,85565
37069,6372,13734,15856,10128
37071,22997,46499,49887,32173
37073,915,3171,3077,1196
37075,1103,2204,1986,786
37077,6566,12836,13057,9431
37079,3744,4932,4653,1654
37081,38516,81878,104820,126827
37083,7730,13453,9742,5222
37085,10720,25577,30560,18702
37087,5495,12075,16329,11903
37089,8618,20649,29047,27185
37091,3199,5446,5526,2484
37093,4480,9955,14086,6150
37095,732,1476,1254,350
37097,12967,34094,39318,34306
37099,2916,7359,8815,8326
37101,17163,36367,47399,29900
37103,1366,2490,2502,882
37105,6733,10933,14311,8755
37107,8049,12649,13004,5912
37109,7166,18360,19927,13584
37111,5289,10644,11193,5731
37113,2820,8136,9033,6246
37115,1995,4793,4166,4371
37117,2745,5590,5455,2705
37119,70077,122512,201185,327148
37121,1642,3668,3518,2274
37123,3892,6556,5549,2971
37125,6532,15168,22173,26250
37127,9320,21839,20182,13460
37129,10530,33277,48832,63284
37131,2938,5772,4218,2065
37133,8890,31389,40395,24004
37135,6544,12281,17432,53769
37137,1195,3086,3822,1842
37139,3495,8616,8866,5947
37141,5201,11764,13723,11884
37143,1325,2900,3833,2034
37145,3794,10498,9416,4372
37147,11652,25786,35591,35418
37149,1469,3990,5809,4621
37151,18383,33208,31965,15552
37153,5852,9839,10084,4808
37155,19384,28607,25839,11719
37157,11344,22845,21418,9864
37159,13881,31514,33394,17900
37161,7735,15554,16045,8535
37163,8793,14553,13356,5828
37165,4676,8013,7262,3663
37167,6332,14366,14965,7472
37169,5450,13443,9978,4754
37171,10449,14725,16575,9186
37173,1983,2994,3036,1780
37175,2811,6858,7600,8368
37177,805,1129,835,328
37179,15286,36207,43712,52171
37181,5891,11136,8572,4463
37183,49941,107848,179118,376153
37185,2680,5333,4237,2300
37187,1333,3059,2842,941
37189,2927,6584,8832,13409
37191,12724,25058,28725,15628
37193,9795,15647,16062,7796
37195,10950,17460,16191,10903
37197,4726,9053,9860,3117
37199,2046,4386,4095,2678
38001,90,564,568,420
38003,589,2409,2398,2249
38005,536,1153,1591,632
38007,74,233,213,186
38009,376,1260,1813,1090
38011,233,738,643,516
38013,111,416,630,341
38015,3656,14514,22910,22873
38017,5793,22448,38654,44952
38019,221,856,1112,529
38021,288,925,1156,956
38023,115,587,705,320
38025,273,1027,1102,649
38027,175,485,563,435
38029,311,861,827,444
38031,224,603,873,620
38033,92,326,524,346
38035,2030,9184,15456,14729
38037,173,630,627,315
38039,188,586,528,452
38041,247,646,769,248
38043,163,602,700,315
38045,408,854,964,726
38047,166,458,485,271
38049,382,1391,1479,886
38051,363,660,664,312
38053,737,2263,2913,2053
38055,525,2346,2631,1448
38057,515,1616,2555,1300
38059,1775,6435,7809,5883
38061,502,2223,2500,1341
38063,179,637,822,545
38065,112,396,507,271
38067,530,1615,1884,1047
38069,198,1047,1105,623
38071,637,2265,2895,2078
38073,344,1352,1393,730
38075,79,573,692,338
38077,978,2856,4470,2247
38079,1034,2142,3499,1626
38081,228,1023,1043,520
38083,136,408,386,159
38085,384,762,853,353
38087,54,155,194,141
38089,1937,6524,7310,4565
38091,47,322,511,394
38093,1331,4938,4876,3455
38095,139,548,657,275
38097,357,1414,2096,1575
38099,1112,2506,2676,1307
38101,2740,13049,15001,12756
38103,380,963,934,649
38105,2127,6048,8909,5266
39001,3764,8453,4268,2502
39003,6705,26855,22494,13091
39005,4090,14759,9205,7433
39007,9592,30576,18645,9795
39009,3691,12994,9132,11167
39011,2275,13482,9403,5852
39013,4950,21329,15648,8385
39015,3687,13851,8315,4530
39017,22809,80103,66907,73608
39019,2072,9767,5204,2608
39021,2373,12404,7756,4319
39023,10393,34897,29607,17235
39025,13727,45549,41164,40289
39027,3286,11032,8539,5333
39029,8518,33218,21499,11040
39031,3678,11993,6328,3334
39033,2898,13790,8529,4235
39035,89084,242977,258465,284708
39037,3227,16523,9938,5566
39039,2291,10918,8045,4650
39041,4754,24084,31343,71553
39043,4414,19980,16827,12418
39045,7669,35512,32370,28745
39047,2810,9011,4609,3191
39049,76076,211911,228536,345062
39051,2494,11977,9164,5063
39053,3311,8514,5564,3286
39055,6296,16261,17344,24464
39057,6959,27461,33782,43981
