fips_state_county_code,population,agg_assault_tot_arrests,arson_tot_arrests,burglary_tot_arrests,mtr_veh_theft_tot_arrests,murder_tot_arrests,rape_tot_arrests,robbery_tot_arrests,theft_tot_arrests,sale_cannabis_tot_arrests,sale_heroin_coke_tot_arrests,sale_other_drug_tot_arrests,sale_synth_narc_tot_arrests,poss_cannabis_tot_arrests,poss_heroin_coke_tot_arrests,poss_other_drug_tot_arrests,poss_synth_narc_tot_arrests,all_other_tot_arrests,curfew_loiter_tot_arrests,disorder_cond_tot_arrests,family_off_tot_arrests,manslaught_neg_tot_arrests,oth_assault_tot_arrests,oth_sex_off_tot_arrests,prostitution_tot_arrests,runaways_tot_arrests,suspicion_tot_arrests,vagrancy_tot_arrests,vandalism_tot_arrests,weapons_tot_arrests
49039,92712,11.0,0.0,5.0,0.0,0.0,1.0,0.0,31.0,0.0,7.0,5.0,0.0,31.0,3.0,8.0,18.0,67.0,0.0,13.0,10.0,0.0,79.0,14.0,0.0,0.0,0.0,0.0,29.0,7.0
49041,61590,12.0,1.0,4.0,3.0,0.0,1.0,0.0,100.0,2.0,1.0,1.0,0.0,68.0,12.0,49.0,9.0,55.0,2.0,24.0,1.0,0.0,46.0,4.0,0.0,0.0,0.0,0.0,7.0,2.0
49043,127698,27.0,0.0,6.0,5.0,0.0,2.0,0.0,68.0,1.0,0.0,4.0,2.0,65.0,1.0,37.0,1.0,316.0,0.0,17.0,14.0,0.0,111.0,10.0,1.0,0.0,2.0,0.0,0.0,9.0
49045,213951,38.0,3.0,39.0,27.0,0.0,23.0,5.0,356.0,7.0,2.0,5.0,0.0,171.0,14.0,130.0,0.0,1393.0,23.0,33.0,294.0,2.0,158.0,48.0,15.0,0.0,0.0,0.0,131.0,47.0
49047,107271,20.0,3.0,2.0,6.0,1.0,5.0,1.0,39.0,2.0,0.0,12.0,0.0,239.0,19.0,107.0,2.0,897.0,8.0,79.0,20.0,0.0,110.0,4.0,0.0,14.0,1.0,0.0,17.0,4.0
49049,1897740,218.0,3.0,123.0,78.0,10.0,100.0,25.0,2122.0,46.0,47.0,68.0,3.0,1610.0,443.0,845.0,31.0,4686.0,26.0,478.0,391.0,1.0,1334.0,242.0,57.0,3.0,4.0,0.0,628.0,141.0
49051,103812,15.0,1.0,6.0,7.0,0.0,3.0,1.0,60.0,6.0,3.0,12.0,0.0,228.0,7.0,40.0,1.0,361.0,2.0,19.0,5.0,0.0,80.0,16.0,0.0,0.0,0.0,0.0,24.0,8.0
49053,527934,86.0,2.0,54.0,11.0,3.0,12.0,13.0,601.0,6.0,6.0,13.0,1.0,517.0,207.0,661.0,11.0,1975.0,63.0,118.0,12.0,0.0,634.0,28.0,11.0,0.0,0.0,7.0,207.0,36.0
49055,8022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49057,776844,103.0,6.0,64.0,40.0,3.0,14.0,35.0,950.0,8.0,16.0,22.0,1.0,507.0,173.0,462.0,26.0,1622.0,0.0,162.0,157.0,0.0,442.0,14.0,5.0,0.0,0.0,0.0,223.0,54.0
50001,110544,21.0,0.0,4.0,2.0,0.0,4.0,1.0,35.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,87.0,0.0,24.0,6.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0
50003,105951,66.0,0.0,37.0,14.0,0.0,8.0,8.0,193.0,3.0,32.0,2.0,1.0,10.0,64.0,11.0,6.0,485.0,0.0,69.0,43.0,3.0,149.0,3.0,2.0,0.0,0.0,0.0,45.0,1.0
50005,90240,51.0,0.0,16.0,2.0,0.0,3.0,0.0,70.0,1.0,8.0,0.0,0.0,2.0,13.0,1.0,3.0,261.0,0.0,65.0,12.0,0.0,113.0,4.0,0.0,0.0,0.0,0.0,15.0,0.0
