Fips Code,Living Wage,Poverty Wage,Minimum Wage
13247,29.94,10.44,7.25
13249,26.23,10.44,7.25
13251,26.23,10.44,7.25
13253,26.53,10.44,7.25
13255,29.94,10.44,7.25
13257,26.23,10.44,7.25
13259,26.23,10.44,7.25
13261,26.65,10.44,7.25
13263,26.28,10.44,7.25
13265,26.38,10.44,7.25
13267,26.23,10.44,7.25
13269,26.23,10.44,7.25
13271,26.23,10.44,7.25
13273,26.87,10.44,7.25
13275,27.15,10.44,7.25
13277,26.23,10.44,7.25
13279,26.23,10.44,7.25
13281,26.64,10.44,7.25
13283,26.23,10.44,7.25
13285,27.2,10.44,7.25
13287,26.23,10.44,7.25
13289,27.09,10.44,7.25
13291,26.36,10.44,7.25
13293,26.49,10.44,7.25
13295,27.53,10.44,7.25
13297,29.94,10.44,7.25
13299,26.23,10.44,7.25
13301,26.23,10.44,7.25
13303,26.23,10.44,7.25
13305,26.23,10.44,7.25
13307,26.23,10.44,7.25
13309,26.23,10.44,7.25
13311,26.71,10.44,7.25
13313,26.75,10.44,7.25
13315,26.23,10.44,7.25
13317,26.42,10.44,7.25
13319,26.23,10.44,7.25
13321,26.87,10.44,7.25
13380,27.3,10.44,13.5
13460,31.21,10.44,12
13740,27.48,10.44,8.65
13780,26.58,10.44,11.8
13820,28.01,10.44,7.25
13900,26.57,10.44,7.25
13980,28.24,10.44,7.25
14010,27.41,10.44,10
14020,26.67,10.44,7.25
14100,24.35,10.44,7.25
14260,27.98,10.44,7.25
14460,33.14,10.44,12.75
14500,33.73,10.44,12
14540,26.69,10.44,7.25
14740,28.11,10.44,13.5
14860,33.05,10.44,12
15001,32.73,12.01,10.1
15003,38.15,12.01,10.1
15005,35.18,12.01,10.1
15007,36.08,12.01,10.1
15009,35.18,12.01,10.1
15180,25.3,10.44,7.25
15260,27.08,10.44,7.25
15380,26.74,10.44,11.8
15500,27.15,10.44,7.25
15540,32,10.44,10.96
15680,30.85,10.44,11
15940,25.52,10.44,8.7
15980,28.44,10.44,8.56
16001,28.15,10.44,7.25
16003,26.48,10.44,7.25
16005,26.9,10.44,7.25
16007,26.48,10.44,7.25
16009,27,10.44,7.25
16011,26.7,10.44,7.25
16013,28.89,10.44,7.25
16015,28.15,10.44,7.25
16017,27.18,10.44,7.25
16019,27.06,10.44,7.25
16020,27.45,10.44,9.45
16021,26.48,10.44,7.25
16023,27.09,10.44,7.25
16025,26.48,10.44,7.25
16027,28.15,10.44,7.25
16029,26.48,10.44,7.25
16031,26.52,10.44,7.25
16033,26.89,10.44,7.25
16035,26.99,10.44,7.25
16037,26.59,10.44,7.25
16039,27.07,10.44,7.25
16041,26.5,10.44,7.25
16043,26.73,10.44,7.25
16045,27.51,10.44,7.25
16047,26.48,10.44,7.25
16049,26.48,10.44,7.25
16051,27.06,10.44,7.25
16053,27.02,10.44,7.25
16055,28.05,10.44,7.25
16057,26.82,10.44,7.25
16059,26.97,10.44,7.25
16060,25.85,10.44,10
16061,26.48,10.44,7.25
16063,27.22,10.44,7.25
16065,26.89,10.44,7.25
16067,26.48,10.44,7.25
16069,27.61,10.44,7.25
16071,27,10.44,7.25
16073,28.15,10.44,7.25
16075,26.86,10.44,7.25
16077,27.39,10.44,7.25
16079,26.64,10.44,7.25
16081,28.02,10.44,7.25
16083,27.12,10.44,7.25
16085,27.1,10.44,7.25
16087,26.48,10.44,7.25
16180,26.06,10.44,8
16220,26.25,10.44,7.25
16300,27.27,10.44,7.25
16540,24.83,10.44,7.25
16580,27.56,10.44,10
16620,25.36,10.44,8.75
16700,31.56,10.44,7.25
16740,28.29,10.44,7.25
16820,30.68,10.44,7.25
16860,25.26,10.44,7.25
16940,26.42,10.44,7.25
16980,29.73,10.44,10
17001,26.21,10.44,10
17003,26.57,10.44,10
17005,26.24,10.44,10
17007,26.96,10.44,10
17009,28.3,10.44,10
17011,26.41,10.44,10
17013,27.51,10.44,10
17015,26.04,10.44,10
17017,26.04,10.44,10
17019,27.2,10.44,10
17020,30.99,10.44,12
17021,26.1,10.44,10
17023,26.09,10.44,10
17025,26.04,10.44,10
17027,27.51,10.44,10
17029,26.34,10.44,10
17031,29.95,10.44,10
17033,26.04,10.44,10
17035,26.04,10.44,10
17037,28.16,10.44,10
17039,26.04,10.44,10
17041,26.04,10.44,10
17043,29.95,10.44,10
17045,26.04,10.44,10
17047,26.04,10.44,10
17049,26.04,10.44,10
17051,26.04,10.44,10
17053,27.2,10.44,10
17055,26.04,10.44,10
17057,26.5,10.44,10
17059,26.04,10.44,10
17061,26.04,10.44,10
17063,29.31,10.44,10
17065,26.04,10.44,10
17067,26.04,10.44,10
17069,26.04,10.44,10
17071,26.04,10.44,10
17073,26.61,10.44,10
17075,26.04,10.44,10
17077,26.3,10.44,10
17079,26.04,10.44,10
17081,26.16,10.44,10
17083,27.51,10.44,10
17085,26.04,10.44,10
17087,26.04,10.44,10
17089,29.95,10.44,10
17091,27.56,10.44,10
17093,29.89,10.44,10
17095,26.04,10.44,10
17097,29.95,10.44,10
17099,26.63,10.44,10
17101,26.04,10.44,10
17103,26.28,10.44,10
17105,26.12,10.44,10
17107,26.22,10.44,10
17109,26.04,10.44,10
17111,29.95,10.44,10
17113,26.95,10.44,10
17115,26.42,10.44,10
17117,26.04,10.44,10
17119,27.51,10.44,10
17121,26.04,10.44,10
17123,26.56,10.44,10
17125,26.21,10.44,10
17127,26.7,10.44,10
