FIPS_Code,Employed_2019,Unemployed_2019,Median_Household_Income_2019,Med_HH_Income_Percent_of_State_Total_2019,5_year_unemployment_delta
13097,70551,2678,62915,101.5577087,-0.5
13099,4210,175,40011,64.58595276,-0.555555556
13101,1858,54,40408,65.22679901,-0.525423729
13103,31311,937,71628,115.6222763,-0.532258065
13105,7540,315,40962,66.12106323,-0.540229885
13107,7964,456,38529,62.1937027,-0.485714286
13109,4776,170,41425,66.86843872,-0.476923077
13111,11099,394,47980,77.44955444,-0.552631579
13113,56269,1794,94563,152.6440735,-0.491803279
13115,42403,1752,50520,81.54963684,-0.493670886
13117,121572,3543,113332,182.9410858,-0.471698113
13119,9839,366,47691,76.98304749,-0.56097561
13121,540233,20179,79235,127.901535,-0.492957746
13123,11599,433,57007,92.02098846,-0.506849315
13125,1228,48,49350,79.66101837,-0.530864198
13127,37478,1350,58017,93.65132904,-0.533333333
13129,27498,990,53373,86.15496063,-0.520547945
13131,10301,367,42603,68.76997375,-0.540540541
13133,7020,287,60973,98.42292023,-0.524390244
13135,475310,15367,72225,116.5859528,-0.491803279
13137,18779,678,51296,82.80226135,-0.5
13139,99832,2966,66698,107.6642456,-0.508474576
13141,2371,143,31715,51.19451141,-0.512820513
13143,12147,433,49020,79.12832642,-0.575
13145,16405,531,74052,119.5351105,-0.483333333
13147,11195,414,50647,81.75463867,-0.52
13149,5050,178,48984,79.07022095,-0.569620253
13151,112575,4280,72927,117.7191315,-0.493150685
13153,68770,2443,65641,105.9580307,-0.5
13155,3243,160,42317,68.30831146,-0.510416667
13157,36734,1037,66645,107.5786896,-0.542372881
13159,6757,224,59207,95.57223511,-0.52238806
13161,5900,288,40603,65.54156494,-0.426829268
13163,6314,322,35379,57.1089592,-0.566371681
13165,3043,166,32808,52.95883942,-0.48
13167,3924,152,37771,60.97013855,-0.569767442
13169,13308,449,56819,91.71751404,-0.476190476
13171,7881,327,57402,92.65859222,-0.583333333
13173,3627,154,42667,68.87328339,-0.49382716
13175,18658,909,42018,67.82566833,-0.505376344
13177,14673,467,72425,116.9087982,-0.507936508
13179,24965,1005,51410,82.98628235,-0.493506494
13181,3412,140,45299,73.12187195,-0.530120482
13183,8032,313,52051,84.02098846,-0.486486486
13185,49820,1870,46450,74.97982025,-0.506849315
13187,16394,552,57078,92.1355896,-0.484375
13189,8293,463,44473,71.78853607,-0.47
13191,5876,226,46682,75.35431671,-0.53164557
13193,4503,221,34634,55.90637589,-0.601694915
13195,12996,423,52326,84.46488953,-0.52238806
13197,3151,143,41190,66.48910522,-0.441558442
13199,8481,414,43571,70.33252716,-0.520408163
13201,2711,93,41769,67.42372894,-0.476190476
13205,8097,393,37383,60.34382629,-0.417721519
13207,12592,436,70488,113.7820816,-0.507462687
13209,3721,205,43657,70.47135162,-0.5
13211,9082,301,67089,108.2954025,-0.515151515
13213,14812,813,50061,80.80871582,-0.446808511
13215,74179,3650,47035,75.9241333,-0.447058824
13217,50779,2104,58222,93.9822464,-0.512195122
13219,19531,523,100878,162.8377686,-0.490196078
13221,6808,232,54346,87.72558594,-0.5
13223,85048,2648,76580,123.6158218,-0.516129032
13225,11402,499,49815,80.41162109,-0.557894737
13227,14977,480,66183,106.8329315,-0.537313433
13229,8390,304,46701,75.38498688,-0.533333333
13231,8712,280,74905,120.9120255,-0.557142857
13233,17884,692,47896,77.31396484,-0.525641026
13235,3905,161,42274,68.23889923,-0.487179487
13237,7956,370,62282,100.5359192,-0.516483516
13239,770,42,35522,57.33979034,-0.380952381
13241,7057,264,46639,75.28490448,-0.56097561
13243,2431,125,33505,54.0839386,-0.494845361
13245,81390,3988,44810,72.33252716,-0.459770115
13247,42852,1754,60281,97.30589294,-0.506329114
13249,2170,88,51129,82.53268433,-0.486842105
13251,4874,285,42331,68.33090973,-0.45
13253,2971,135,38618,62.33736801,-0.547368421
13255,27555,1186,49237,79.47861481,-0.568421053
13257,10419,419,45416,73.31073761,-0.493506494
13259,2388,109,34566,55.79661179,-0.413333333
13261,12252,625,40250,64.97174835,-0.484210526
13263,2699,128,41045,66.25504303,-0.430379747
13265,518,28,37046,59.79983902,-0.536363636
13267,9384,378,41457,66.92009735,-0.442857143
13269,2908,128,28234,45.57546234,-0.59223301
13271,3893,405,36264,58.53752899,-0.040816327
13273,3368,182,37122,59.92251968,-0.37037037
13275,16334,683,47978,77.44632721,-0.545454545
13277,19638,685,47764,77.10089111,-0.534246575
13279,11419,596,41442,66.89588165,-0.494949495
13281,3780,195,49023,79.13317108,-0.467391304
13283,2585,144,37478,60.49717331,-0.5
13285,36795,1228,47296,76.3454361,-0.567567568
13287,3098,124,35400,57.1428566,-0.525
13289,2698,162,44079,71.15254211,-0.491071429
13291,10171,334,57049,92.08878326,-0.515151515
13293,11005,415,40926,66.06295776,-0.595505618
13295,30280,1153,47548,76.75222015,-0.486111111
13297,44752,1466,67007,108.1630325,-0.507692308
13299,14922,585,37642,60.76190567,-0.518987342
13301,2629,134,37313,60.23083115,-0.505154639
13303,6763,300,41674,67.27037811,-0.481481481
13305,11050,473,47382,76.48426056,-0.534090909
13307,977,51,41547,67.06537628,-0.418604651
13309,1552,124,35927,57.99354172,-0.403225806
13311,16113,457,54786,88.43583679,-0.548387097
13313,41929,2002,53115,85.7385025,-0.417721519
13315,2593,121,38261,61.76109695,-0.510869565
13317,3633,179,39716,64.1097641,-0.494623656
13319,3898,155,43902,70.86682892,-0.563218391
13321,8697,356,43142,69.64002991,-0.506329114
15001,88618,2868,64929,77.54197693,-0.41509434
15003,442802,10585,86946,103.8359604,-0.425
15007,35936,895,73029,87.21546936,-0.47826087
15009,85410,2076,77375,92.40571594,-0.441860465
16001,247613,6064,72295,118.8476105,-0.368421053
16003,1600,111,50042,82.26532745,-0.293478261
16005,41346,1139,53306,87.63110352,-0.341463415
16007,2884,82,54550,89.67614746,-0.317073171
16009,3867,203,49303,81.05046844,-0.324324324
16011,23121,599,59959,98.56813812,-0.390243902
16013,12008,307,75778,124.5734024,-0.390243902
16015,3364,143,64443,105.9395065,-0.316666667
16017,19216,792,56729,93.25826263,-0.384615385
16019,55670,1295,65165,107.1264191,-0.394736842
16021,5116,227,50709,83.36183167,-0.236363636
16023,1337,34,51742,85.06000519,-0.489795918
16025,662,18,56014,92.08285522,-0.469387755
16027,101285,3186,58670,96.44911957,-0.444444444
16029,3996,104,61518,101.1310196,-0.342105263
16031,11843,279,53284,87.59494019,-0.394736842
16033,361,13,48726,80.10192108,-0.186046512
16035,2699,186,49816,81.89379883,-0.247058824
16037,2126,88,49055,80.64277649,-0.365079365
16039,11174,358,47796,78.57307434,-0.340425532
16041,6904,156,55421,91.10800934,-0.266666667
16043,7565,171,56162,92.32615662,-0.405405405
16045,8042,261,53733,88.33306122,-0.425925926
16047,7994,203,50205,82.53328705,-0.305555556
16049,6275,281,48866,80.3320694,-0.376811594
16051,13651,308,63078,103.6955414,-0.388888889
16053,11915,301,56320,92.58589172,-0.305555556
16055,77179,2703,62764,103.1793518,-0.358490566
16057,19902,516,54999,90.41426849,-0.324324324
16059,3383,159,46062,75.72250366,-0.375
16061,1542,85,45342,74.53887939,0.268292683
16063,2576,90,50608,83.19579315,-0.358490566
16065,21579,381,46177,75.91156006,-0.413793103
16067,11105,272,56173,92.34423828,-0.414634146
16069,20365,558,67645,111.2033539,-0.27027027
16071,2264,50,55833,91.78530121,-0.371428571
16073,5233,175,48395,79.55778503,-0.03030303
16075,11278,395,53643,88.18510437,-0.333333333
16077,3951,119,50981,83.80897522,-0.340909091
16079,4847,286,39239,64.5059967,-0.384615385
16081,6464,140,73637,121.0537567,-0.416666667
16083,40087,1093,56141,92.29163361,-0.307692308
16085,5331,206,64041,105.2786484,-0.463768116
16087,4412,180,45813,75.31317139,-0.35
17001,31255,1054,55942,80.82702637,-0.388888889
17003,1829,119,37408,54.0484314,-0.435185185
17005,7501,285,53447,77.22216034,-0.439393939
17007,24995,1418,72426,104.6436996,-0.316455696
17009,2940,71,60254,87.05715942,-0.428571429
17011,16466,769,57935,83.70658112,-0.391891892
17013,2214,103,63373,91.56359863,-0.469879518
17015,7105,289,56468,81.58700562,-0.390625
17017,5848,241,51011,73.70253754,-0.428571429
17019,105954,3908,53485,77.27706146,-0.379310345
17021,13857,671,51573,74.514534,-0.402597403
17023,7319,342,58323,84.2671814,-0.375
17025,6200,281,49377,71.3416748,-0.469135802
17027,20032,613,67201,97.09443665,-0.454545455
17029,22978,918,50467,72.91654968,-0.441176471
17031,2493959,103226,69375,100.2355118,-0.473684211
17033,8332,360,50352,72.7503891,-0.369230769
17035,5923,201,53991,78.00814819,-0.45
17037,53536,2187,64676,93.4462204,-0.409090909
17039,7155,310,59521,85.99809265,-0.363636364
17041,9928,350,64283,92.87840271,-0.423728814
17043,492348,15600,96354,139.215744,-0.465517241
17045,8592,369,51333,74.16777802,-0.430555556
17047,2608,112,54930,79.36485291,-0.397058824
17049,18748,599,58943,85.16297913,-0.436363636
17051,9519,416,48913,70.67127228,-0.447368421
17053,6128,263,55369,79.99913025,-0.305084746
17055,15578,849,43695,63.13211441,-0.440860215
17057,14404,811,50461,72.90787506,-0.38372093
17059,2228,113,46515,67.2065506,-0.333333333
17061,5815,248,52116,75.2990799,-0.397058824
17063,24463,1201,83135,120.1164551,-0.465909091
17065,4267,164,51031,73.73143005,-0.383333333
17067,8045,379,53724,77.62237549,-0.307692308
17069,1225,82,44573,64.40068054,-0.284090909
17071,3471,165,55535,80.23897552,-0.296875
17073,23946,1146,61680,89.11749268,-0.313432836
17075,13796,578,51542,74.46974182,-0.384615385
17077,26999,1015,37308,53.90394592,-0.446153846
17079,4469,189,59980,86.66127014,-0.369230769
17081,16671,765,50531,73.00901794,-0.413333333
17083,10607,465,63351,91.53181458,-0.416666667
17085,10412,421,62522,90.33404541,-0.370967742
17087,3904,240,55022,79.49777222,-0.395833333
17089,261403,11635,84311,121.8155823,-0.376811594
17091,53286,2684,60763,87.79257965,-0.414634146
17093,67239,2411,105586,152.5544739,-0.461538462
17095,20758,1033,43404,62.71166992,-0.328571429
17097,362905,14908,92638,133.8467255,-0.4
17099,52006,2790,59528,86.00820923,-0.37804878
17101,5611,313,47114,68.07201385,-0.320512821
