fips_state_county_code,less_than_hs,hs_diploma_only,some_college_or_associates,bachelors_or_higher,Living Wage,Poverty Wage,Minimum Wage,Employed_2019,Unemployed_2019,Median_Household_Income_2019,Med_HH_Income_Percent_of_State_Total_2019,5_year_unemployment_delta,population_2020,10_year_pop_delta,20_year_pop_delta,rucc_Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ,"rucc_Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      ","rucc_Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ","rucc_Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               ","rucc_Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           ","rucc_Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ","rucc_Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ","rucc_Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 ","rucc_Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area                                                                                                                             "
1041,2016,3830,2157,1687,25.13,10.44,7.25,6253.0,183.0,43309.0,83.65494537,-0.594202899,13194.0,-0.05120092,-0.033902028,0,0,0,1,0,0,0,0,0
1043,10648,19668,19406,8004,25.37,10.44,7.25,37533.0,1008.0,50897.0,98.3117981,-0.566666667,87866.0,0.092779146,0.134838426,0,0,0,0,0,0,0,1,0
1045,4651,10819,11961,6078,25.13,10.44,7.25,19951.0,649.0,45120.0,87.15303802,-0.542857143,49326.0,-0.018407594,0.004193811,0,0,0,0,0,0,0,1,0
1047,4757,9411,8178,3854,25.18,10.44,7.25,13850.0,805.0,34034.0,65.73950958,-0.508928571,38462.0,-0.122272935,-0.170380277,0,0,0,0,0,0,0,1,0
1049,12072,16431,13241,6246,25.13,10.44,7.25,30270.0,878.0,44277.0,85.52471161,-0.588235294,71608.0,0.007017396,0.11130424,0,0,0,0,0,1,0,0,0
1051,7503,18232,16298,14060,26.69,10.44,7.25,36257.0,979.0,62310.0,120.3569565,-0.543859649,87977.0,0.109377955,0.336650511,0,1,0,0,0,0,0,0,0
1053,4878,11308,6449,3224,25.13,10.44,7.25,14095.0,518.0,42712.0,82.50178528,-0.5625,36757.0,-0.040763068,-0.044080932,0,0,0,0,0,1,0,0,0
1055,11127,23668,24422,12815,25.71,10.44,7.25,41026.0,1436.0,43047.0,83.14886475,-0.514285714,103436.0,-0.009518338,-0.000116,0,0,1,0,0,0,0,0,0
1057,2037,4831,3387,1451,25.13,10.44,7.25,6376.0,206.0,44212.0,85.39916229,-0.602564103,16321.0,-0.053361174,-0.11883166,0,0,0,0,0,1,0,0,0
1059,4739,7601,5539,2907,25.13,10.44,7.25,14185.0,407.0,44874.0,86.6778717,-0.636363636,32113.0,0.01290058,0.027385866,0,0,0,0,0,1,0,0,0
1061,3672,6714,5943,2331,25.52,10.44,7.25,10606.0,324.0,43089.0,83.22999573,-0.552238806,26659.0,-0.004889884,0.037315175,0,0,1,0,0,0,0,0,0
1063,1204,2237,1766,586,25.13,10.44,7.25,2727.0,162.0,28699.0,55.43450928,-0.548387097,7730.0,-0.14538419,-0.221001713,0,0,0,1,0,0,0,0,0
1065,1587,4303,2620,1411,27.08,10.44,7.25,5834.0,242.0,40745.0,78.70236206,-0.591836735,14785.0,-0.061865482,-0.190749863,0,0,1,0,0,0,0,0,0
1067,2509,3961,3622,2076,25.13,10.44,7.25,6632.0,250.0,48597.0,93.86915588,-0.52,17146.0,-0.009016299,0.052095478,0,0,1,0,0,0,0,0,0
1069,10076,22558,23893,15672,25.52,10.44,7.25,44892.0,1406.0,50138.0,96.84572601,-0.552238806,107202.0,0.055688499,0.206808434,0,0,1,0,0,0,0,0,0
1071,6218,15177,10429,5175,25.38,10.44,7.25,22550.0,776.0,44322.0,85.6116333,-0.541666667,52579.0,-0.012174272,-0.023983219,0,0,0,0,0,1,0,0,0
1073,44684,118636,136299,150124,27.8,10.44,7.25,307648.0,9154.0,54127.0,104.5508118,-0.53968254,674721.0,0.024686165,0.019152892,1,0,0,0,0,0,0,0,0
1075,1737,3912,3014,1174,25.13,10.44,7.25,5621.0,181.0,42686.0,82.4515686,-0.550724638,13972.0,-0.040648174,-0.121368381,0,0,0,1,0,0,0,0,0
1077,8026,22873,17759,14948,25.86,10.44,7.25,41047.0,1401.0,48188.0,93.07913971,-0.541666667,93564.0,0.009222406,0.063807531,0,0,1,0,0,0,0,0,0
1079,4825,9605,5954,2930,25.67,10.44,7.25,13779.0,451.0,47797.0,92.32389069,-0.609756098,33073.0,-0.036867701,-0.050554056,0,0,1,0,0,0,0,0,0
1081,8849,23026,30907,34273,26.55,10.44,7.25,74272.0,2103.0,54160.0,104.6145554,-0.5,174241.0,0.242386646,0.514954701,0,0,1,0,0,0,0,0,0
1083,10098,20044,18829,16971,26.34,10.44,7.25,43081.0,1191.0,64729.0,125.0294571,-0.557377049,103570.0,0.251117393,0.577176098,0,1,0,0,0,0,0,0,0
1085,1529,2800,1696,1037,26.69,10.44,7.25,3296.0,203.0,33930.0,65.53862,-0.546875,10311.0,-0.087441366,-0.235259215,0,1,0,0,0,0,0,0,0
1087,2190,3633,3760,2450,25.31,10.44,7.25,7522.0,334.0,34281.0,66.21660614,-0.527472527,19532.0,-0.089502144,-0.18907249,0,0,0,0,0,1,0,0,0
1089,20562,51126,70137,105935,26.34,10.44,7.25,180126.0,4815.0,68609.0,132.5240021,-0.573770492,388153.0,0.159319736,0.401284486,0,1,0,0,0,0,0,0,0
1091,2118,4970,3895,2109,25.13,10.44,7.25,7409.0,272.0,38838.0,75.01882935,-0.556962025,19323.0,-0.081038665,-0.142457729,0,0,0,0,0,0,1,0,0
1093,4345,7408,6804,2715,25.13,10.44,7.25,12299.0,449.0,44675.0,86.29348755,-0.556962025,29341.0,-0.046627242,-0.058436557,0,0,0,0,0,0,1,0,0
1095,11761,19920,19887,12387,25.28,10.44,7.25,42962.0,1098.0,48913.0,94.47953796,-0.621212121,97612.0,0.049377009,0.1860078,0,0,0,0,0,0,0,1,0
1097,37736,94715,81698,64689,27.0,10.44,7.25,181682.0,7059.0,49492.0,95.59792328,-0.519480519,414809.0,0.004399601,0.037315542,0,1,0,0,0,0,0,0,0
1099,2113,6952,3670,1983,25.13,10.44,7.25,6966.0,354.0,40005.0,77.27298737,-0.563636364,19772.0,-0.142881914,-0.187006579,0,0,0,0,0,0,1,0,0
1101,19978,37648,42690,50254,26.69,10.44,7.25,102780.0,3297.0,52711.0,101.8156891,-0.544117647,228954.0,-0.0017832,0.024320189,0,1,0,0,0,0,0,0,0
1103,13137,25075,25790,18476,25.67,10.44,7.25,56777.0,1511.0,54355.0,104.9912109,-0.606060606,123421.0,0.03289815,0.11114012,0,0,1,0,0,0,0,0,0
1105,1010,2172,1361,1340,25.13,10.44,7.25,3203.0,178.0,29572.0,57.12078094,-0.558333333,8511.0,-0.196393164,-0.28334456,0,0,0,1,0,0,0,0,0
1107,2680,5388,4380,2047,25.13,10.44,7.25,7625.0,279.0,40249.0,77.74429321,-0.567901235,19123.0,-0.031550694,-0.085636416,0,0,1,0,0,0,0,0,0
1109,2901,6899,4918,4580,25.21,10.44,7.25,14825.0,506.0,41271.0,79.71837616,-0.547945205,33009.0,0.003343567,0.111863379,0,0,0,0,0,1,0,0,0
1111,3213,5502,4454,2607,25.13,10.44,7.25,9204.0,293.0,42922.0,82.9074173,-0.537313433,21967.0,-0.041286606,-0.016872538,0,0,0,0,0,1,0,0,0
1113,6297,12237,13449,6937,26.4,10.44,7.25,23001.0,707.0,43670.0,84.35224152,-0.538461538,59183.0,0.117778156,0.187126409,0,1,0,0,0,0,0,0,0
1115,9488,21849,20207,9880,27.8,10.44,7.25,39591.0,1107.0,65403.0,126.3313446,-0.526315789,91103.0,0.089840058,0.407213469,1,0,0,0,0,0,0,0,0
1117,10658,28835,43503,62431,27.8,10.44,7.25,113842.0,2570.0,77801.0,150.2791138,-0.511111111,223024.0,0.143214496,0.554943561,1,0,0,0,0,0,0,0,0
1119,1076,2860,2408,1744,26.04,10.44,7.25,4537.0,218.0,29209.0,56.4196167,-0.452380952,12345.0,-0.103029863,-0.164297319,0,0,0,1,0,0,0,0,0
1121,11014,18881,17721,8377,25.36,10.44,7.25,34428.0,1226.0,47719.0,92.1732254,-0.558441558,82149.0,-0.001725584,0.017526693,0,0,0,0,0,0,0,1,0
1123,5546,9376,8458,5287,25.13,10.44,7.25,17894.0,558.0,47100.0,90.97757721,-0.6,41311.0,-0.007328912,-0.011012425,0,0,0,0,0,1,0,0,0
1125,15036,38580,35780,39660,27.08,10.44,7.25,102096.0,2854.0,52307.0,101.0353317,-0.542372881,227036.0,0.166344731,0.37654306,0,0,1,0,0,0,0,0,0
1127,8141,16796,14765,5080,26.12,10.44,7.25,24311.0,837.0,45991.0,88.83544922,-0.582278481,65342.0,-0.025080942,-0.075628112,1,0,0,0,0,0,0,0,0
1129,1971,4886,3052,1437,25.18,10.44,7.25,6384.0,315.0,48864.0,94.3848877,-0.505263158,15388.0,-0.124736932,-0.148752558,0,0,0,1,0,0,0,0,0
1131,1675,2808,1742,889,25.13,10.44,7.25,2512.0,194.0,30998.0,59.87522125,-0.571428571,10600.0,-0.091688089,-0.184301654,0,0,0,0,1,0,0,0,0
1133,3635,6556,4764,2201,25.13,10.44,7.25,9785.0,337.0,40827.0,78.86075592,-0.61627907,23540.0,-0.038555792,-0.05103604,0,0,0,0,0,1,0,0,0
2013,380,1137,798,301,27.59,13.05,10.19,2502.0,58.0,66923.0,86.68445587,-0.477272727,3420.0,0.088825215,0.26807564,0,0,0,0,1,0,0,0,0
2016,435,1611,1378,703,31.29,13.05,10.19,3544.0,113.0,84726.0,109.7444382,-0.340425532,5232.0,-0.059162021,-0.042459736,0,0,0,0,1,0,0,0,0
2020,11701,44936,65951,69282,28.28,13.05,10.19,142485.0,6633.0,82512.0,106.8766785,-0.137254902,291247.0,-0.001984059,0.118894041,0,1,0,0,0,0,0,0,0
2050,1871,4550,2216,1164,30.84,13.05,10.19,6283.0,815.0,48262.0,62.51311493,-0.272151899,18666.0,0.097160995,0.163280568,0,0,0,0,0,0,1,0,0
2060,38,235,219,143,27.58,13.05,10.19,427.0,24.0,87950.0,113.9204407,-0.329113924,844.0,-0.153460381,-0.3290938,0,0,0,0,1,0,0,0,0
2068,25,423,511,668,29.84,13.05,10.19,1021.0,81.0,78434.0,101.5944977,-0.274509804,1619.0,-0.113362541,-0.144743793,0,0,0,1,0,0,0,0,0
2070,396,1078,782,639,28.87,13.05,10.19,1847.0,140.0,57436.0,74.39607239,-0.292929293,4857.0,0.002063132,-0.013206014,0,0,0,0,1,0,0,0,0
2090,3406,13993,25045,19402,28.41,13.05,10.19,43373.0,2137.0,74076.0,95.94963837,-0.175438596,95655.0,-0.019737449,0.154570363,0,0,1,0,0,0,0,0,0
2100,46,558,621,625,26.61,13.05,10.19,1043.0,90.0,62548.0,81.01757813,-0.254716981,2080.0,-0.170653907,-0.130434783,0,0,0,0,1,0,0,0,0
2110,818,4875,8202,8666,29.46,13.05,10.19,16625.0,677.0,85419.0,110.6420746,-0.22,32255.0,0.031334932,0.050514591,0,0,0,0,0,0,0,0,1
2122,2977,12702,14977,9995,27.52,13.05,10.19,24947.0,1604.0,68625.0,88.88903046,-0.220779221,58799.0,0.061353791,0.183721539,0,0,0,0,0,0,1,0,0
2130,697,2864,3644,2437,29.01,13.05,10.19,6637.0,385.0,75706.0,98.06095886,-0.285714286,13948.0,0.034948431,-0.008952679,0,0,0,0,0,0,1,0,0
2150,912,2653,2868,2501,29.13,13.05,10.19,5695.0,293.0,79669.0,103.1941757,-0.125,13101.0,-0.036124191,-0.05856568,0,0,0,0,0,0,1,0,0
2158,847,2246,760,157,25.85,13.05,10.19,2186.0,466.0,35369.0,45.81298828,-0.25106383,8368.0,0.121866202,0.190665908,0,0,0,0,1,0,0,0,0
2164,110,406,254,148,25.61,13.05,10.19,647.0,63.0,51693.0,66.95724487,-0.447204969,1476.0,-0.095033722,-0.190345584,0,0,0,0,1,0,0,0,0
2170,4808,22553,26100,14725,26.52,13.05,10.19,45432.0,2929.0,75856.0,98.25524902,-0.227848101,107081.0,0.2032249,0.805202468,0,1,0,0,0,0,0,0,0
2180,852,2270,1507,891,30.82,13.05,10.19,3637.0,395.0,58464.0,75.72763062,-0.190082645,10046.0,0.058364939,0.092431492,0,0,0,0,0,0,1,0,0
2185,668,2795,1967,1075,29.46,13.05,10.19,3360.0,201.0,84784.0,109.8195648,-0.050847458,11031.0,0.169777306,0.493703453,0,0,0,0,0,0,1,0,0
2188,735,1964,953,557,28.99,13.05,10.19,2542.0,366.0,61660.0,79.86736298,-0.25,7793.0,0.035889938,0.081159822,0,0,0,0,0,0,1,0,0
2220,325,1683,2087,2051,28.19,13.05,10.19,4258.0,161.0,80660.0,104.4778061,-0.28,8458.0,-0.047629771,-0.042671194,0,0,0,0,0,0,1,0,0
2240,458,1546,1624,890,28.22,13.05,10.19,2652.0,227.0,69646.0,90.21151733,-0.392307692,6808.0,-0.031441172,0.102688695,0,0,0,0,1,0,0,0,0
2261,300,1997,2185,1998,27.85,13.05,10.19,4551.0,326.0,74574.0,96.59468842,-0.294736842,,,,0,0,0,0,0,0,0,0,0
2282,39,148,155,100,27.77,13.05,10.19,235.0,17.0,61587.0,79.77280426,-0.323232323,662.0,0.0,-0.180693069,0,0,0,0,1,0,0,0,0
2290,483,1383,1108,468,25.0,13.05,10.19,2137.0,308.0,42063.0,54.48363495,-0.326203209,5343.0,-0.043843951,-0.179262673,0,0,0,0,1,0,0,0,0
4001,8809,14491,16120,5529,26.42,10.44,12.0,18373.0,2059.0,35386.0,57.04935074,-0.356687898,66021.0,-0.076861769,-0.049099813,0,0,0,0,0,1,0,0,0
4003,11057,21124,35205,20253,27.36,10.44,12.0,47381.0,2919.0,48650.0,78.43358612,-0.30952381,125447.0,-0.044911912,0.065430641,0,0,1,0,0,0,0,0,0
4005,7876,18310,26852,30042,30.25,10.44,12.0,72664.0,4443.0,58301.0,93.99293518,-0.183098592,145101.0,0.079451871,0.247429505,0,0,1,0,0,0,0,0,0
4007,5378,10955,15629,7368,27.82,10.44,12.0,20191.0,1219.0,45980.0,74.12900543,-0.313253012,53272.0,-0.006063772,0.038481032,0,0,0,0,0,0,0,1,0
4009,3495,6809,9810,3592,27.34,10.44,12.0,14665.0,762.0,50685.0,81.7144165,-0.337837838,38533.0,0.035276733,0.151097834,0,0,0,0,0,0,1,0,0
4011,699,2032,2332,791,26.36,10.44,12.0,4302.0,180.0,68066.0,109.736084,-0.384615385,9563.0,0.133459761,0.119920365,0,0,0,0,0,0,1,0,0
4012,3702,5000,5423,1928,27.36,10.44,12.0,8727.0,556.0,39407.0,63.53200912,-0.210526316,16557.0,-0.191907853,-0.158261312,0,0,0,0,0,1,0,0,0
4013,353350,644671,939477,941317,29.59,10.44,12.0,2202716.0,96094.0,68634.0,110.6518097,-0.275862069,4420568.0,0.158090779,0.438792611,1,0,0,0,0,0,0,0,0
4015,22068,55982,59836,20505,27.46,10.44,12.0,82093.0,5118.0,49712.0,80.14574432,-0.32183908,213267.0,0.06534423,0.37608481,0,0,1,0,0,0,0,0,0
4017,11720,21383,26664,10758,26.98,10.44,12.0,37641.0,3079.0,40676.0,65.57789612,-0.315315315,106717.0,-0.006812534,0.095072446,0,0,0,0,0,0,0,1,0
4019,79892,153022,232157,222733,28.01,10.44,12.0,474779.0,22627.0,56150.0,90.52509308,-0.25,1043433.0,0.06444189,0.23673169,0,1,0,0,0,0,0,0,0
4021,42607,87608,110668,58470,29.59,10.44,12.0,180277.0,9557.0,62067.0,100.0644913,-0.285714286,425264.0,0.131713548,1.369568003,1,0,0,0,0,0,0,0,0
4023,6857,8398,8060,5987,26.62,10.44,12.0,17891.0,1709.0,47779.0,77.02935791,-0.330769231,47669.0,0.005250949,0.241994737,0,0,0,0,0,0,0,1,0
4025,15683,45277,68914,45341,28.56,10.44,12.0,101642.0,4872.0,54242.0,87.44901276,-0.28125,236209.0,0.119298877,0.411239298,0,0,1,0,0,0,0,0,0
4027,35444,34067,43093,19912,27.07,10.44,12.0,83320.0,16869.0,47024.0,75.81214905,-0.266375546,203881.0,0.041532355,0.274296072,0,0,1,0,0,0,0,0,0
5001,1999,4832,3633,1959,27.07,10.44,10.0,9195.0,282.0,52539.0,107.1787033,-0.423076923,17149.0,-0.09832273,-0.173581996,0,0,0,0,0,1,0,0,0
5003,2307,6027,3765,1703,26.99,10.44,10.0,7293.0,414.0,47744.0,97.39698029,-0.393258427,19062.0,-0.127717018,-0.212866994,0,0,0,0,0,0,1,0,0
5005,3581,11536,10976,5682,27.49,10.44,10.0,15674.0,650.0,41950.0,85.57731628,-0.384615385,41627.0,0.002746128,0.085025414,0,0,0,0,0,0,1,0,0
5007,19857,50742,45308,58000,28.28,10.44,10.0,135482.0,3638.0,70775.0,144.3798523,-0.422222222,284333.0,0.284604159,0.854470627,0,1,0,0,0,0,0,0,0
5009,3271,8675,9844,4193,26.99,10.44,10.0,15555.0,509.0,50083.0,102.1685028,-0.448275862,37373.0,0.012736092,0.101149087,0,0,0,0,0,0,1,0,0
5011,1426,3105,1911,1078,26.99,10.44,10.0,4297.0,183.0,39982.0,81.5626297,-0.474358974,10545.0,-0.083680918,-0.164289111,0,0,0,0,0,0,1,0,0
5013,586,1661,1046,424,27.33,10.44,10.0,2329.0,106.0,48415.0,98.76580811,-0.3125,4739.0,-0.117175857,-0.173093701,0,0,0,0,1,0,0,0,0
5015,2724,7134,5781,4213,27.04,10.44,10.0,12427.0,398.0,43841.0,89.43492126,-0.392156863,28260.0,0.029658238,0.115012823,0,0,0,0,0,1,0,0,0
5017,1431,2833,1995,1182,26.99,10.44,10.0,3031.0,224.0,37014.0,75.50795746,-0.323529412,10208.0,-0.134915254,-0.276079711,0,0,0,0,0,0,1,0,0
5019,1323,3976,4364,3508,26.99,10.44,10.0,9332.0,368.0,44105.0,89.97348022,-0.432835821,21446.0,-0.06736247,-0.088993671,0,0,0,0,0,0,1,0,0
5021,1845,4410,2947,1323,26.99,10.44,10.0,5397.0,275.0,40686.0,82.9987793,-0.376623377,14552.0,-0.095193683,-0.172899852,0,0,0,0,0,0,1,0,0
5023,2627,8007,5153,2906,27.35,10.44,10.0,8815.0,414.0,46214.0,94.27580261,-0.444444444,24711.0,-0.048479014,0.029410539,0,0,0,0,0,1,0,0,0
5025,594,2653,1526,926,27.59,10.44,10.0,3117.0,127.0,53773.0,109.6960449,-0.417910448,7550.0,-0.13108528,-0.118196683,0,0,1,0,0,0,0,0,0
5027,2071,6116,3595,2879,26.99,10.44,10.0,8797.0,407.0,42964.0,87.64585876,-0.371428571,22801.0,-0.071318019,-0.109753241,0,0,0,0,0,0,1,0,0
5029,1876,6352,3995,2263,26.99,10.44,10.0,7942.0,356.0,46924.0,95.72419739,-0.385714286,20715.0,-0.026230433,0.019438976,0,0,0,0,0,1,0,0,0
5031,7362,23849,19662,18091,28.18,10.44,10.0,54631.0,1562.0,47766.0,97.44186401,-0.471698113,111231.0,0.153334094,0.354180109,0,0,1,0,0,0,0,0,0
5033,6347,15753,13409,6747,27.39,10.44,10.0,26011.0,889.0,44600.0,90.98326874,-0.440677966,60133.0,-0.029298767,0.129215804,0,1,0,0,0,0,0,0,0
5035,5385,10768,9414,5400,28.84,10.44,10.0,20341.0,901.0,41976.0,85.63035583,-0.416666667,48163.0,-0.053809281,-0.052934815,1,0,0,0,0,0,0,0,0
5037,1883,4778,3191,1661,27.39,10.44,10.0,7095.0,310.0,45273.0,92.35617828,-0.322580645,16833.0,-0.058030218,-0.138051103,0,0,0,0,0,1,0,0,0
5039,826,2267,1442,610,26.99,10.44,10.0,2697.0,130.0,41314.0,84.27988434,-0.477272727,6482.0,-0.201330705,-0.295128317,0,0,0,0,0,1,0,0,0
5041,1482,3491,1753,1100,26.99,10.44,10.0,5170.0,240.0,37005.0,75.48959351,-0.443037975,11395.0,-0.124000615,-0.257703081,0,0,0,0,0,1,0,0,0
5043,1526,4115,3364,2656,26.99,10.44,10.0,7429.0,404.0,44162.0,90.08975983,-0.358024691,17350.0,-0.062618186,-0.071696094,0,0,0,0,0,1,0,0,0
5045,6196,23112,23378,23183,28.26,10.44,10.0,61069.0,1873.0,58482.0,119.3023224,-0.444444444,123498.0,0.090615258,0.435422381,0,1,0,0,0,0,0,0,0
5047,1956,4930,3672,1459,26.99,10.44,10.0,7274.0,250.0,45670.0,93.16605377,-0.4,17097.0,-0.056717241,-0.037656197,0,0,0,0,0,1,0,0,0
5049,1275,3171,3322,1083,26.99,10.44,10.0,4783.0,198.0,32926.0,67.16850281,-0.298245614,12075.0,-0.013883218,0.038531005,0,0,0,0,1,0,0,0,0
5051,7779,22462,25762,15464,28.02,10.44,10.0,39943.0,1531.0,45786.0,93.4026947,-0.403225806,100180.0,0.043280846,0.136833027,0,0,1,0,0,0,0,0,0
5053,1170,5570,3600,2380,27.56,10.44,10.0,8162.0,266.0,58566.0,119.4736862,-0.396226415,17958.0,0.005881364,0.091207389,0,1,0,0,0,0,0,0,0
5055,3536,13792,7887,4859,27.45,10.44,10.0,19366.0,693.0,47098.0,96.07915497,-0.435483871,45736.0,0.086623901,0.223443811,0,0,0,0,0,0,0,1,0
5057,2491,5276,4400,2162,27.08,10.44,10.0,9545.0,376.0,40867.0,83.36801147,-0.344827586,20065.0,-0.112521562,-0.149680044,0,0,0,0,0,1,0,0,0
5059,3442,9474,8150,3227,27.01,10.44,10.0,13552.0,506.0,45860.0,93.5536499,-0.357142857,33040.0,0.003553747,0.086377536,0,0,0,0,0,1,0,0,0
5061,1297,3371,2921,1192,26.99,10.44,10.0,5505.0,184.0,41427.0,84.51040649,-0.438596491,12785.0,-0.072811661,-0.106194072,0,0,0,0,0,1,0,0,0
5063,3512,9451,7753,4406,27.2,10.44,10.0,15924.0,656.0,47903.0,97.72133636,-0.473684211,37938.0,0.035227986,0.107808211,0,0,0,0,0,0,1,0,0
5065,1653,3876,3334,1332,26.99,10.44,10.0,4641.0,267.0,40233.0,82.07466125,-0.27027027,13577.0,-0.008688668,0.023829274,0,0,0,0,1,0,0,0,0
5067,2421,5186,3361,1239,26.99,10.44,10.0,5437.0,377.0,38636.0,78.81681061,-0.277777778,16755.0,-0.069011502,-0.090390879,0,0,0,0,0,1,0,0,0
5069,6499,18240,13726,8439,27.59,10.44,10.0,26162.0,1502.0,40555.0,82.73153687,-0.372093023,67260.0,-0.131400529,-0.202087906,0,0,1,0,0,0,0,0,0
5071,3678,7082,3982,2679,27.07,10.44,10.0,9810.0,466.0,40396.0,82.40718079,-0.296875,25749.0,0.008183242,0.130383248,0,0,0,0,0,0,1,0,0
5073,995,1972,1161,775,26.99,10.44,10.0,2345.0,113.0,37164.0,75.81395721,-0.386666667,6308.0,-0.174885546,-0.262222222,0,0,0,1,0,0,0,0,0
5075,1782,4340,3377,1730,26.99,10.44,10.0,6560.0,281.0,39604.0,80.79151154,-0.422535211,16216.0,-0.068848694,-0.087039748,0,0,0,0,0,1,0,0,0
